지수명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,상장시가총액,날짜
KRX 300,1901.05,-11.63,-0.61,1913.15,1929.94,1896.65,279548840,13488481375036,2028800954161500,20210503
KTOP 30,11520.28,-86.3,-0.74,11609.44,11702.14,11490.84,50048566,5645660149606,1208343758559140,20210503
KRX 100,6624.66,-29.51,-0.44,6656.43,6722.06,6607.57,125958178,9134221260606,1698357633429640,20210503
KRX Mid 200,1807.31,-38.3,-2.08,1844.35,1855.67,1805.75,192901461,2205453931448,97954895348159,20210503
KRX 자동차,2264.05,46.91,2.12,2218.81,2316.0,2218.81,12130931,907051604153,132659985792225,20210503
KRX 반도체,3852.24,-20.18,-0.52,3872.85,3940.15,3836.17,19861668,952405532133,131186340258830,20210503
KRX 헬스케어,4228.09,-202.48,-4.57,4426.61,4444.53,4226.61,47562260,2648351165605,201837074859970,20210503
KRX 은행,742.99,-16.76,-2.21,760.56,764.24,738.85,14259145,299642950850,75722978908370,20210503
KRX 에너지화학,4002.65,-95.98,-2.34,4101.81,4111.25,3984.43,13265952,1665824766970,175396974936540,20210503
KRX 철강,2075.16,-53.76,-2.53,2130.03,2161.0,2060.72,15278377,494937045040,56281885518110,20210503
KRX 방송통신,907.58,10.35,1.15,897.89,919.11,895.21,22648949,184089246105,41088566664012,20210503
KRX 건설,717.21,-10.53,-1.45,726.53,733.75,713.55,26974805,510825658522,46045204893235,20210503
KRX 증권,855.13,-29.81,-3.37,884.94,885.48,848.69,44309665,287706968313,30643985830229,20210503
KRX 기계장비,599.65,-12.2,-1.99,611.91,622.79,596.26,55074619,1083661958620,67791579794450,20210503
KRX 보험,1291.03,10.33,0.81,1280.84,1322.88,1280.7,12406700,255463932350,41253743333825,20210503
KRX 운송,1306.16,-39.47,-2.93,1352.35,1353.15,1297.05,57730980,953106157865,44822592592940,20210503
KRX 경기소비재,1431.78,-14.99,-1.04,1447.43,1461.47,1427.57,27889992,1139385631110,90498892935440,20210503
KRX 필수소비재,1803.53,1.42,0.08,1804.63,1814.68,1800.2,10424409,518036330725,108409855992700,20210503
KRX 미디어&엔터테인먼트,3365.88,-17.99,-0.53,3389.0,3421.21,3355.75,10599593,962860867530,173535613812490,20210503
KRX 정보기술,1775.33,-8.63,-0.48,1783.59,1804.53,1768.02,54260955,2948754725763,718808216557560,20210503
KRX 유틸리티,926.66,-10.84,-1.16,936.76,937.72,919.59,3770253,103134740650,19594713526750,20210503
KRX 300 정보기술,2875.55,-11.85,-0.41,2886.78,2922.24,2861.98,46611019,2834691025483,714676307462320,20210503
KRX 300 금융,865.89,-14.98,-1.7,881.88,885.15,862.94,33445958,724971046860,148416808985950,20210503
KRX 300 자유소비재,1731.46,17.9,1.04,1714.2,1766.53,1713.58,25519818,1886443588508,211817018030310,20210503
KRX 300 산업재,726.45,-10.95,-1.48,737.98,742.05,723.7,81640365,1955223662040,210348873302900,20210503
KRX 300 헬스케어,3527.57,-181.3,-4.89,3706.37,3722.85,3526.29,38929981,2438327949475,177047487766650,20210503
KRX 300 커뮤니케이션서비스,2497.96,-1.45,-0.06,2501.05,2534.26,2482.39,14532359,1093408840700,210465348842150,20210503
KRX 300 소재,1908.44,-30.05,-1.55,1938.83,1946.92,1896.95,27179045,1658701804720,198685852035350,20210503
KRX 300 필수소비재,1783.93,4.3,0.24,1782.43,1792.62,1778.26,5110838,373312560200,99493489963320,20210503
KRX 300,1916.4,15.35,0.81,1903.57,1916.4,1892.36,244040965,11708937073166,2043945386926060,20210504
KTOP 30,11648.25,127.97,1.11,11533.33,11648.25,11460.14,38961631,4838149503094,1221601529899840,20210504
KRX 100,6687.01,62.35,0.94,6633.42,6687.01,6594.62,108566283,8206748565804,1714001099040740,20210504
KRX Mid 200,1808.23,0.92,0.05,1807.41,1813.9,1768.07,208693573,2353809191126,98050342615135,20210504
KRX 자동차,2286.11,22.06,0.97,2270.47,2289.59,2239.39,7812847,622225052565,134539118596755,20210504
KRX 반도체,3870.59,18.35,0.48,3849.45,3875.19,3774.04,20327698,792228260746,131691071180590,20210504
KRX 헬스케어,4272.72,44.63,1.06,4214.9,4284.13,4150.49,40429085,2178839872178,203527436078985,20210504
KRX 은행,739.82,-3.17,-0.43,743.98,748.98,733.11,11091197,209312775353,75491182071320,20210504
KRX 에너지화학,4079.35,76.7,1.92,3999.67,4080.22,3964.74,16923188,1677654991230,178631333727810,20210504
KRX 철강,2095.3,20.14,0.97,2087.51,2113.88,2033.61,13758160,480808328496,57156813302330,20210504
KRX 방송통신,921.17,13.59,1.5,907.95,921.69,905.07,21090787,326036462138,41764882777918,20210504
KRX 건설,717.18,-0.03,0.0,717.33,722.17,699.96,24406743,467135066480,46259507843585,20210504
KRX 증권,858.43,3.3,0.39,855.53,858.86,841.32,59296157,382104721536,30750749854470,20210504
KRX 기계장비,592.47,-7.18,-1.2,599.41,599.41,579.75,89411887,1016952001130,67034629948080,20210504
KRX 보험,1268.67,-22.36,-1.73,1295.28,1304.87,1253.67,12663743,172252779305,40566345259825,20210504
KRX 운송,1294.5,-11.66,-0.89,1307.73,1307.73,1272.56,41952988,899759420050,44371124008370,20210504
KRX 경기소비재,1431.33,-0.45,-0.03,1432.13,1443.51,1409.95,19362285,847159880900,90342734421175,20210504
KRX 필수소비재,1797.97,-5.56,-0.31,1804.09,1812.01,1773.91,10978393,649211285167,108128255592990,20210504
KRX 미디어&엔터테인먼트,3377.74,11.86,0.35,3364.01,3382.95,3320.92,9972323,885497825810,174433374468830,20210504
KRX 정보기술,1788.85,13.52,0.76,1774.38,1790.01,1757.14,47777111,2413470861202,725458594823040,20210504
KRX 유틸리티,918.59,-8.07,-0.87,926.66,926.66,909.97,3182135,81696631400,19430230787850,20210504
KRX 300 정보기술,2898.14,22.59,0.79,2873.74,2900.84,2846.09,40513679,2275083743992,721431535179050,20210504
KRX 300 금융,861.03,-4.86,-0.56,867.46,870.17,851.46,27737251,513665549918,147469828548310,20210504
KRX 300 자유소비재,1745.7,14.24,0.82,1736.27,1747.65,1719.48,19562924,1373972931290,213528812656000,20210504
KRX 300 산업재,725.65,-0.8,-0.11,727.8,729.22,715.06,70576102,1732810246560,210269515201970,20210504
KRX 300 헬스케어,3574.54,46.97,1.33,3514.75,3584.89,3461.27,32389440,1979477884448,178889505486230,20210504
KRX 300 커뮤니케이션서비스,2515.9,17.94,0.72,2497.25,2518.71,2472.11,17773489,1171838849910,212076419168150,20210504
KRX 300 소재,1933.77,25.33,1.33,1915.75,1934.37,1892.99,23470551,1645780134566,201542363394400,20210504
KRX 300 필수소비재,1778.34,-5.59,-0.31,1784.31,1792.24,1755.7,6197224,505320229782,99251296551100,20210504
KRX 300,1927.4,11.0,0.57,1916.5,1927.4,1904.76,341534594,13004811637843,2059578026871265,20210506
KTOP 30,11712.36,64.11,0.55,11645.82,11712.72,11587.66,50267861,5785741588578,1223853908392200,20210506
KRX 100,6715.79,28.78,0.43,6686.97,6715.79,6646.2,196437865,9597428100932,1722734733223100,20210506
KRX Mid 200,1824.51,16.28,0.9,1807.98,1825.5,1800.77,130087703,1697347111602,98996098406685,20210506
KRX 자동차,2292.96,6.85,0.3,2287.45,2306.42,2274.08,7297306,517697670065,134498110230565,20210506
KRX 반도체,3832.74,-37.85,-0.98,3869.15,3869.15,3802.16,19682896,961851244459,129283201609030,20210506
KRX 헬스케어,4264.78,-7.94,-0.19,4270.51,4279.42,4230.52,30077847,1594847456035,203952378721840,20210506
KRX 은행,782.47,42.65,5.76,741.12,782.47,740.96,27982640,556777665940,79988295174280,20210506
KRX 에너지화학,4197.66,118.31,2.9,4078.62,4200.08,4067.77,12653421,1908415731000,183556466522960,20210506
KRX 철강,2213.86,118.56,5.66,2099.52,2225.14,2099.52,16875221,767912388600,60169037977420,20210506
KRX 방송통신,923.98,2.81,0.31,920.87,930.71,918.3,13123447,218393437253,42000891299324,20210506
KRX 건설,737.16,19.98,2.79,717.08,737.85,712.55,23805749,437050345875,47228708860670,20210506
KRX 증권,887.03,28.6,3.33,859.21,887.39,852.72,31682747,244002567522,31829130096935,20210506
KRX 기계장비,604.01,11.54,1.95,592.54,607.91,576.92,126723232,1327609981210,68590667438945,20210506
KRX 보험,1319.42,50.75,4.0,1271.95,1321.28,1271.95,28110165,243119413287,42059636380300,20210506
KRX 운송,1365.31,70.81,5.47,1294.5,1365.31,1292.35,53041384,1072767514410,46939176533000,20210506
KRX 경기소비재,1435.2,3.87,0.27,1431.83,1436.93,1420.61,15628842,865760372575,90724417056350,20210506
KRX 필수소비재,1817.39,19.42,1.08,1799.02,1817.39,1788.57,13115217,495296477175,109445724533140,20210506
KRX 미디어&엔터테인먼트,3370.31,-7.43,-0.22,3374.16,3382.37,3336.99,9373324,1014636651273,173862569302130,20210506
KRX 정보기술,1770.56,-18.29,-1.02,1786.2,1786.2,1757.5,47044003,2926829959363,720489633449660,20210506
KRX 유틸리티,960.02,41.43,4.51,918.59,979.45,916.78,2728946,75504376900,19797185343600,20210506
KRX 300 정보기술,2868.38,-29.76,-1.03,2894.13,2894.39,2847.49,41738216,2836916579223,716546780339280,20210506
KRX 300 금융,904.04,43.01,5.0,861.87,904.1,861.85,58229932,946007404607,154577699588055,20210506
KRX 300 자유소비재,1746.56,0.86,0.05,1746.23,1754.27,1733.88,16884455,1314974317160,213831558508840,20210506
KRX 300 산업재,740.2,14.55,2.01,725.68,740.47,716.67,152851237,2268255613760,214524486098530,20210506
KRX 300 헬스케어,3561.68,-12.86,-0.36,3572.49,3576.72,3532.28,24719450,1451634776325,179114674359080,20210506
KRX 300 커뮤니케이션서비스,2510.91,-4.99,-0.2,2513.69,2526.29,2493.75,14007312,1211055454698,211736557111100,20210506
KRX 300 소재,1999.33,65.56,3.39,1938.23,1999.35,1936.9,22044195,2031703200580,207518562271750,20210506
KRX 300 필수소비재,1798.22,19.88,1.12,1779.37,1798.22,1768.35,5006595,384227437140,100425344561230,20210506
KRX 300,1936.4,9.0,0.47,1926.59,1942.8,1925.24,253210064,11101387594368,2070880919861705,20210507
KTOP 30,11733.33,20.97,0.18,11715.53,11777.78,11693.03,41206121,4595117986500,1225745854261900,20210507
KRX 100,6745.56,29.77,0.44,6713.39,6770.2,6704.93,112928733,7629203984020,1730227497732950,20210507
KRX Mid 200,1844.28,19.77,1.08,1826.86,1848.59,1826.86,158286676,2156901985400,100079990906240,20210507
KRX 자동차,2302.18,9.22,0.4,2294.55,2320.64,2281.43,6346015,429605730205,135140648079035,20210507
KRX 반도체,3841.4,8.66,0.23,3839.24,3856.26,3818.38,15080811,779775997028,129722987007120,20210507
KRX 헬스케어,4379.01,114.23,2.68,4272.1,4413.76,4272.1,29601900,1880777371950,209754704303175,20210507
KRX 은행,787.86,5.39,0.69,783.6,789.6,778.03,15094944,346106320850,80664286642730,20210507
KRX 에너지화학,4184.14,-13.52,-0.32,4212.64,4231.68,4175.81,9952112,1310356523820,182304056976850,20210507
KRX 철강,2245.8,31.94,1.44,2223.18,2254.21,2191.76,11869683,525272500495,60551339933380,20210507
KRX 방송통신,928.73,4.75,0.51,927.1,932.57,926.2,15145916,142544450275,42258566604094,20210507
KRX 건설,751.01,13.85,1.88,737.78,752.84,737.74,32891668,476632099450,48151679227630,20210507
KRX 증권,895.5,8.47,0.95,889.48,899.57,886.22,19771210,171070177120,32093814189625,20210507
KRX 기계장비,609.4,5.39,0.89,604.33,615.75,604.3,52241074,811834390410,69161827676565,20210507
KRX 보험,1338.99,19.57,1.48,1320.58,1340.13,1313.82,18726910,173755448210,42567273114060,20210507
KRX 운송,1388.55,23.24,1.7,1376.18,1399.66,1361.26,55205648,1253775910415,47821439457030,20210507
KRX 경기소비재,1456.83,21.63,1.51,1439.87,1461.61,1438.84,24344472,971915575765,92047668413310,20210507
KRX 필수소비재,1835.13,17.74,0.98,1819.68,1842.46,1815.76,21700962,632112055745,110496872502790,20210507
KRX 미디어&엔터테인먼트,3407.25,36.94,1.1,3369.85,3435.91,3369.07,9744646,869298896755,174833937377780,20210507
KRX 정보기술,1778.14,7.58,0.43,1769.75,1787.27,1757.68,42104393,2526471665923,719583552194470,20210507
KRX 유틸리티,959.6,-0.42,-0.04,969.29,971.25,953.5,4589502,115715513850,20245455812500,20210507
KRX 300 정보기술,2881.54,13.16,0.46,2867.36,2896.79,2847.43,35000873,2375630003108,715640538497240,20210507
KRX 300 금융,912.98,8.94,0.99,905.44,914.08,901.31,36493107,638152000570,156036001277965,20210507
KRX 300 자유소비재,1761.83,15.27,0.87,1749.52,1773.1,1748.2,18860355,1245324612110,215647906997570,20210507
KRX 300 산업재,746.04,5.84,0.79,741.16,749.02,741.1,82789416,1657552389300,216007474204850,20210507
KRX 300 헬스케어,3669.11,107.43,3.02,3570.27,3702.96,3569.78,28130396,1813641377515,184703565005430,20210507
KRX 300 커뮤니케이션서비스,2530.44,19.53,0.78,2513.78,2548.98,2513.12,12137116,970672834330,212933837018300,20210507
KRX 300 소재,1998.32,-1.01,-0.05,2002.38,2007.06,1985.62,19357178,1412744130715,206717899043450,20210507
KRX 300 필수소비재,1816.38,18.16,1.01,1800.27,1823.9,1795.53,13842324,517878696470,101344434005400,20210507
KRX 300,1968.47,32.07,1.66,1938.63,1973.17,1938.63,294421965,13784089230905,2105851479694870,20210510
KTOP 30,11869.29,135.96,1.16,11753.02,11913.62,11753.02,52051112,5414226520140,1241838527633600,20210510
KRX 100,6848.2,102.64,1.52,6752.95,6867.9,6752.95,129088578,9281141474210,1756633526389250,20210510
KRX Mid 200,1871.91,27.63,1.5,1846.85,1875.91,1846.85,200879643,2746298747300,101531740731380,20210510
KRX 자동차,2366.76,64.58,2.81,2304.95,2375.44,2304.93,12390998,802023273770,138730672312370,20210510
KRX 반도체,3878.08,36.68,0.95,3844.16,3882.88,3829.59,18526677,837790103870,130453172770120,20210510
KRX 헬스케어,4517.87,138.86,3.17,4384.17,4523.42,4384.17,43539458,2408754216985,215839735743355,20210510
KRX 은행,803.37,15.51,1.97,788.36,805.88,780.09,15245231,346759612940,82331339192380,20210510
KRX 에너지화학,4198.21,14.07,0.34,4198.28,4240.53,4188.18,16185875,1599135985600,182570062188950,20210510
KRX 철강,2317.92,72.12,3.21,2258.89,2332.59,2258.54,18319038,694645061855,62166235064690,20210510
KRX 방송통신,934.84,6.11,0.66,927.81,936.83,926.2,16665268,182177259311,42828542689740,20210510
KRX 건설,757.71,6.7,0.89,753.77,761.34,751.94,20258498,383843093125,48620017478560,20210510
KRX 증권,926.12,30.62,3.42,897.02,931.93,897.02,51840646,408786207340,33258047239575,20210510
KRX 기계장비,619.89,10.49,1.72,613.59,621.8,610.09,86658658,813464991410,70557783283220,20210510
KRX 보험,1335.21,-3.78,-0.28,1338.76,1340.34,1328.19,13186633,151344958570,42348746975785,20210510
KRX 운송,1434.45,45.9,3.31,1388.78,1438.32,1378.22,48898182,1303358438750,49563078088630,20210510
KRX 경기소비재,1489.48,32.65,2.24,1457.88,1494.17,1457.88,32308236,1212807469815,94061707944880,20210510
KRX 필수소비재,1870.3,35.17,1.92,1836.09,1873.6,1836.09,20779718,747040232155,112800370170290,20210510
KRX 미디어&엔터테인먼트,3470.94,63.69,1.87,3413.1,3481.19,3404.04,9552799,1057558785660,177556918611330,20210510
KRX 정보기술,1797.67,19.53,1.1,1778.57,1803.21,1776.98,52445078,2970540862910,729324610618490,20210510
KRX 유틸리티,965.99,6.39,0.67,958.52,966.88,957.78,3331932,85968113200,20374443467850,20210510
KRX 300 정보기술,2913.85,32.31,1.12,2882.19,2923.0,2879.66,43478354,2851549678940,725518008300290,20210510
KRX 300 금융,929.7,16.72,1.83,913.69,932.44,911.42,46554820,856722128280,158678217634460,20210510
KRX 300 자유소비재,1804.35,42.52,2.41,1764.08,1809.21,1764.08,28676998,1811344384620,220874599188900,20210510
KRX 300 산업재,759.13,13.09,1.75,750.11,760.6,747.66,72360668,1853323574190,220102521925570,20210510
KRX 300 헬스케어,3793.03,123.92,3.38,3673.72,3800.32,3673.64,39766889,2295396507420,190393537530800,20210510
KRX 300 커뮤니케이션서비스,2575.18,44.74,1.77,2532.6,2579.3,2526.55,12906245,1213622977300,216233132740050,20210510
KRX 300 소재,2024.34,26.02,1.3,2001.32,2037.25,2001.32,30604897,1744544310255,208604237300900,20210510
KRX 300 필수소비재,1850.56,34.18,1.88,1817.43,1854.48,1817.43,13549302,613484329950,103386219024850,20210510
KRX 300,1936.37,-32.1,-1.63,1962.35,1962.35,1929.74,339313903,15976844135869,2075382637364310,20210511
KTOP 30,11682.24,-187.05,-1.58,11847.28,11847.28,11646.81,67923221,7770626086969,1216578376795400,20210511
KRX 100,6727.73,-120.47,-1.76,6828.71,6828.71,6705.58,139472906,11359903987519,1727250613033650,20210511
KRX Mid 200,1854.0,-17.91,-0.96,1870.59,1870.59,1842.34,209552749,2602395043145,100653485183820,20210511
KRX 자동차,2332.41,-34.35,-1.45,2363.48,2363.48,2317.84,19043857,671281750455,136625307169040,20210511
KRX 반도체,3741.2,-136.88,-3.53,3872.55,3872.55,3718.21,28534628,1760444531495,124286284876250,20210511
KRX 헬스케어,4430.58,-87.29,-1.93,4515.09,4515.09,4404.02,37010946,1792654118465,212645311360490,20210511
KRX 은행,806.7,3.33,0.41,803.31,810.22,788.22,16056640,357572938950,82560286567460,20210511
KRX 에너지화학,4111.94,-86.27,-2.05,4189.97,4189.97,4103.04,14473389,1645274955840,179801949555350,20210511
KRX 철강,2410.97,93.05,4.01,2316.88,2428.89,2299.76,58942029,1216538512259,63445373575840,20210511
KRX 방송통신,944.8,9.96,1.07,934.84,945.46,921.01,17895102,311129441798,43433131441392,20210511
KRX 건설,764.11,6.4,0.84,755.68,765.07,754.18,29710272,629565141285,48771992830710,20210511
KRX 증권,915.66,-10.46,-1.13,925.96,928.15,903.94,34437854,268321122230,32904912383830,20210511
KRX 기계장비,623.91,4.02,0.65,618.7,624.82,613.84,62058085,911643153200,70941258825815,20210511
KRX 보험,1350.39,15.18,1.14,1334.92,1353.08,1325.39,18295152,177920721905,42803387527085,20210511
KRX 운송,1440.47,6.02,0.42,1422.12,1447.38,1416.62,31639849,852245810745,49879914560050,20210511
KRX 경기소비재,1478.32,-11.16,-0.75,1488.4,1488.4,1463.06,30893055,1104243387685,93391093901555,20210511
KRX 필수소비재,1882.71,12.41,0.66,1872.41,1888.06,1853.85,23669223,1025094952969,113548247645780,20210511
KRX 미디어&엔터테인먼트,3397.13,-73.81,-2.13,3459.1,3459.1,3384.12,9195781,1429533627682,173480075404430,20210511
KRX 정보기술,1741.43,-56.24,-3.13,1793.34,1793.34,1736.54,120257726,5187761838780,708776630513340,20210511
KRX 유틸리티,974.89,8.9,0.92,964.84,976.43,959.21,3903816,99728192600,20434547263900,20210511
KRX 300 정보기술,2820.72,-93.13,-3.2,2906.47,2906.47,2813.1,62160870,4738496580310,705033115794720,20210511
KRX 300 금융,931.07,1.37,0.15,929.46,936.36,913.94,39768525,733385283350,158985837560150,20210511
KRX 300 자유소비재,1778.4,-25.95,-1.44,1801.68,1801.68,1765.06,27137855,1552123865880,217840245773080,20210511
KRX 300 산업재,760.65,1.52,0.2,758.12,762.17,753.8,79878142,2015987898850,220384509130080,20210511
KRX 300 헬스케어,3720.88,-72.15,-1.9,3791.11,3791.11,3696.52,32210054,1643426111190,187719681281160,20210511
KRX 300 커뮤니케이션서비스,2539.33,-35.85,-1.39,2568.75,2568.84,2518.13,16717778,1718848474166,212835537298150,20210511
KRX 300 소재,2010.02,-14.32,-0.71,2020.31,2031.36,1984.24,58395447,2235409413989,207183665439570,20210511
KRX 300 필수소비재,1864.28,13.72,0.74,1852.13,1870.1,1833.11,16062300,826062068634,104010364375200,20210511
KRX 300,1903.99,-32.38,-1.67,1936.18,1936.82,1891.55,352799341,17136393156387,2043316163563660,20210512
KTOP 30,11446.47,-235.77,-2.02,11683.7,11684.37,11369.1,75853502,8062294798973,1193810024108900,20210512
KRX 100,6610.58,-117.15,-1.74,6726.97,6732.09,6569.1,154371128,12397662984743,1700287058203700,20210512
KRX Mid 200,1834.42,-19.58,-1.06,1854.12,1856.58,1817.14,393238657,3229463249660,99516232430035,20210512
KRX 자동차,2354.15,21.74,0.93,2334.08,2380.79,2309.13,21498214,1175949471940,137789526995420,20210512
KRX 반도체,3703.73,-37.47,-1.0,3740.69,3762.16,3659.75,22765740,1422946463277,121536585254230,20210512
KRX 헬스케어,4390.67,-39.91,-0.9,4429.5,4468.87,4364.98,90355373,2363857278890,212701831261360,20210512
KRX 은행,786.85,-19.85,-2.46,805.64,805.64,775.71,15749883,338427005980,80396874250410,20210512
KRX 에너지화학,3988.88,-123.06,-2.99,4111.68,4123.75,3955.73,13952392,1709668554860,173578939873450,20210512
